Car_id,Date,Customer Name,Gender,Annual Income,Dealer_Name,Company,Model,Color,Price,Phone
1,01/02/2022,Geraldine,Male,13500,Buddy Storbeck's Diesel Service Inc,Ford,Expedition,Black,26000,8264678
2,01/02/2022,Gia,Male,1480000,C & M Motors Inc,Dodge,Durango,Black,19000,6848189
3,01/02/2022,Gianna,Male,1035000,Capitol KIA,Cadillac,Eldorado,Red,31500,7298798
4,01/02/2022,Giselle,Male,13500,Chrysler of Tri-Cities,Toyota,Celica,Pale White,14000,6257557
5,01/02/2022,Grace,Male,1465000,Chrysler Plymouth,Acura,TL,Red,24500,7081483
6,01/02/2022,Guadalupe,Male,850000,Classic Chevy,Mitsubishi,Diamante,Pale White,12000,7315216
7,01/02/2022,Hailey,Male,1600000,Clay Johnson Auto Sales,Toyota,Corolla,Pale White,14000,7727879
8,01/02/2022,Graham,Male,13500,U-Haul CO,Mitsubishi,Galant,Pale White,42000,6206512
9,01/02/2022,Naomi,Male,815000,Rabun Used Car Sales,Chevrolet,Malibu,Pale White,82000,7194857
10,01/02/2022,Grayson,Female,13500,Rabun Used Car Sales,Ford,Escort,Pale White,15000,7836892
11,01/02/2022,Gregory,Male,13500,Race Car Help,Acura,RL,Pale White,31000,7995489
12,01/02/2022,Amar'E,Male,13500,Race Car Help,Nissan,Pathfinder,Pale White,46000,7288103
13,01/02/2022,Griffin,Male,885000,Saab-Belle Dodge,Mercury,Grand Marquis,Black,9000,6842408
14,01/02/2022,Harrison,Male,13500,Scrivener Performance Engineering,BMW,323i,Pale White,15000,7558767
15,01/02/2022,Zainab,Male,722000,Buddy Storbeck's Diesel Service Inc,Chrysler,Sebring Coupe,Pale White,26000,7677191
16,01/02/2022,Zara,Male,746000,C & M Motors Inc,Subaru,Forester,Pale White,17000,8431908
17,01/02/2022,Zoe,Female,535000,Capitol KIA,Hyundai,Accent,Black,18000,7814646
18,01/02/2022,Zoey,Female,570000,Chrysler of Tri-Cities,Cadillac,Eldorado,Pale White,31000,7456650
19,01/02/2022,Aaliyah,Male,685000,Chrysler Plymouth,Toyota,Land Cruiser,Pale White,33000,7627010
20,01/02/2022,Abigail,Male,455000,Classic Chevy,Honda,Accord,Pale White,21000,6736704
21,01/02/2022,Adrianna,Male,13500,Clay Johnson Auto Sales,Toyota,4Runner,Black,25000,7889827
22,01/02/2022,Joshua,Male,2500000,Classic Chevy,Infiniti,I30,Black,21000,6183219
23,01/02/2022,Marcus,Male,585000,Diehl Motor CO Inc,Audi,A4,Pale White,12000,8097778
24,01/02/2022,Arthur,Male,920000,Star Enterprises Inc,Porsche,Carrera Cabrio,Pale White,18000,7959858
25,01/02/2022,Lizzie,Male,672000,Suburban Ford,Volkswagen,Jetta,Pale White,22000,8570849
26,01/02/2022,Florian,Male,801250,Tri-State Mack Inc,Dodge,Viper,Pale White,31250,8520534
27,01/02/2022,Cassandre,Female,820000,U-Haul CO,Buick,Regal,Black,19000,6362556
28,01/02/2022,Syrielle,Male,791000,Progressive Shippers Cooperative Association No,Chrysler,LHS,Pale White,41000,6281210
29,01/02/2022,Sloane,Male,13500,Race Car Help,Chrysler,LHS,Pale White,41000,6292720
30,01/02/2022,Sofia,Male,1020000,Ryder Truck Rental and Leasing,Saturn,LW,Pale White,13000,7698986
31,01/02/2022,Sophia,Male,210000,Saab-Belle Dodge,Mitsubishi,3000GT,Pale White,20000,8847858
32,01/02/2022,Sophie,Male,750000,Scrivener Performance Engineering,Mercedes-B,SLK230,Pale White,14000,8344679
33,01/02/2022,Stella,Male,635000,Star Enterprises Inc,Honda,Accord,Pale White,19000,6827044
34,01/02/2022,Suri,Male,675000,Tri-State Mack Inc,Honda,Civic,Black,43000,7954038
35,01/02/2022,Sury,Male,880000,U-Haul CO,Jaguar,S-Type,Black,16000,7400390
36,01/03/2022,Haley,Male,13500,Diehl Motor CO Inc,Volvo,S40,Pale White,42000,7153628
37,01/03/2022,Hannah,Male,13500,Enterprise Rent A Car,Mercury,Mountaineer,Pale White,21000,6125796
38,01/03/2022,Haylee,Male,13500,Gartner Buick Hyundai Saab,Buick,Park Avenue,Black,61000,7438037
39,01/03/2022,Hayley,Male,941000,Hatfield Volkswagen,Mitsubishi,Montero Sport,Pale White,39000,6837588
