Car_id,Date,Customer Name,Gender,Annual Income,Dealer_Name,Company,Model,Color,Price,Phone
1,07/01/2024,Shania,Male,945000,Tri-State Mack Inc,Volkswagen,Passat,Red,13000,8396730
2,07/02/2024,Shaniya,Male,1210000,U-Haul CO,Volkswagen,Beetle,Red,45000,8043333
3,07/03/2024,Shiloh,Male,970000,Progressive Shippers Cooperative Association No,Chevrolet,Malibu,Pale White,14000,6950834
4,07/04/2024,Skye,Male,465000,Rabun Used Car Sales,Subaru,Forester,Red,26000,7082266
5,07/05/2024,Skyla,Male,725000,Race Car Help,Hyundai,Sonata,Red,21000,7386244
6,07/06/2024,Skylar,Female,13500,Ryder Truck Rental and Leasing,Dodge,Durango,Pale White,10000,8882230
7,07/07/2024,Sophia,Male,990000,Saab-Belle Dodge,Mitsubishi,Montero Sport,Red,29000,7185729
8,07/08/2024,Soraya,Male,972500,Scrivener Performance Engineering,Dodge,Ram Van,Black,60500,6968878
9,07/09/2024,Summer,Male,955000,Star Enterprises Inc,Oldsmobile,Aurora,Red,24000,8126960
10,07/10/2024,Sydney,Male,1900000,Suburban Ford,Chevrolet,Corvette,Pale White,46000,6440702
11,07/11/2024,Symphony,Male,13500,Tri-State Mack Inc,Saab,03-Sep,Black,23000,7783238
12,07/12/2024,Hassan,Male,950000,New Castle Ford Lincoln Mercury,Toyota,Celica,Pale White,45001,7308204
13,7/13/2024,Hayden,Male,13500,Pars Auto Sales,Mitsubishi,3000GT,Red,24001,8495813
14,7/14/2024,Ava,Male,13500,Rabun Used Car Sales,Mercedes-B,M-Class,Red,25000,7393120
15,7/15/2024,Avery,Male,445000,Race Car Help,Chrysler,Concorde,Pale White,42000,7283769
16,7/16/2024,Ruby,Female,13500,Tri-State Mack Inc,Honda,Civic,Black,43000,8666993
17,7/17/2024,Sabrina,Male,632500,U-Haul CO,Mercedes-B,SL-Class,Pale White,26500,6061224
18,7/18/2024,Alizee,Female,390000,Clay Johnson Auto Sales,Saturn,LW,Pale White,18000,6850524
19,7/19/2024,Camille,Male,1055000,Diehl Motor CO Inc,Oldsmobile,Silhouette,Pale White,14500,6313404
20,7/20/2024,Tabitha,Male,1100000,U-Haul CO,Toyota,RAV4,Pale White,22000,8806786
21,7/21/2024,Tamia,Female,13500,Buddy Storbeck's Diesel Service Inc,Mercury,Cougar,Red,22000,7130028
22,7/22/2024,Hunter,Female,1200000,Pitre Buick-Pontiac-Gmc of Scottsdale,Plymouth,Voyager,Pale White,22001,7685940
23,7/23/2024,Ian,Male,1600000,Progressive Shippers Cooperative Association No,Pontiac,Grand Prix,Red,19001,6509254
24,7/24/2024,Ibrahim,Female,825000,Rabun Used Car Sales,Honda,Accord,Black,43001,6097787
25,7/25/2024,Ibrahima,Male,585000,Race Car Help,Chevrolet,Metro,Pale White,12001,7609750
26,7/26/2024,Isaac,Male,13500,Ryder Truck Rental and Leasing,Volkswagen,Cabrio,Red,25001,7296188
27,7/27/2024,Isaiah,Female,1631000,Saab-Belle Dodge,Mercury,Sable,Pale White,26100,8659599
28,7/28/2024,Ishmael,Male,13500,Scrivener Performance Engineering,Jaguar,S-Type,Red,21001,6351122
